Date__(UT)__HR:MN,R.A._(ICRF),DEC_(ICRF),delta,deldot
 2021-Nov-16 00:00,218.47794,-14.74831,2.541526504,-5.7394993
 2021-Nov-17 00:00,219.14514,-14.96806,2.538186598,-5.8262361
 2021-Nov-18 00:00,219.81431,-15.18606,2.534796799,-5.9122968
 2021-Nov-19 00:00,220.48549,-15.40227,2.531357473,-5.9977572
 2021-Nov-20 00:00,221.15869,-15.61665,2.527868946,-6.0826883
 2021-Nov-21 00:00,221.83394,-15.82916,2.524331506,-6.1671557
 2021-Nov-22 00:00,222.51124,-16.03978,2.520745403,-6.2512181
 2021-Nov-23 00:00,223.19063,-16.24846,2.517110855,-6.3349275
 2021-Nov-24 00:00,223.87212,-16.45516,2.513428053,-6.41833
 2021-Nov-25 00:00,224.55571,-16.65986,2.509697161,-6.501466
 2021-Nov-26 00:00,225.24143,-16.8625,2.505918325,-6.5843715
 2021-Nov-27 00:00,225.92929,-17.06307,2.502091666,-6.6670779
 2021-Nov-28 00:00,226.61929,-17.2615,2.498217293,-6.7496092
 2021-Nov-29 00:00,227.31145,-17.45777,2.494295303,-6.8319767
 2021-Nov-30 00:00,228.00577,-17.65184,2.490325793,-6.9141685
 2021-Dec-01 00:00,228.70225,-17.84366,2.486308876,-6.996137
 2021-Dec-02 00:00,229.40089,-18.0332,2.482244706,-7.0777841
 2021-Dec-03 00:00,230.10169,-18.22041,2.478133511,-7.1589545
 2021-Dec-04 00:00,230.80464,-18.40525,2.473975624,-7.2394419
 2021-Dec-05 00:00,231.50975,-18.58767,2.469771506,-7.3190144
 2021-Dec-06 00:00,232.21699,-18.76764,2.46552175,-7.3974532
 2021-Dec-07 00:00,232.92636,-18.94511,2.461227064,-7.4745895
 2021-Dec-08 00:00,233.63786,-19.12004,2.45688823,-7.550325
 2021-Dec-09 00:00,234.35148,-19.2924,2.45250607,-7.6246318
 2021-Dec-10 00:00,235.06721,-19.46213,2.448081403,-7.697536
 2021-Dec-11 00:00,235.78507,-19.62922,2.443615024,-7.7690973
 2021-Dec-12 00:00,236.50504,-19.79361,2.439107685,-7.8393913
 2021-Dec-13 00:00,237.22712,-19.95528,2.434560097,-7.9084975
 2021-Dec-14 00:00,237.95131,-20.11418,2.429972922,-7.9764941
 2021-Dec-15 00:00,238.67761,-20.27028,2.42534678,-8.0434561
 2021-Dec-16 00:00,239.40601,-20.42355,2.420682247,-8.1094557
 2021-Dec-17 00:00,240.13651,-20.57394,2.415979859,-8.1745637
 2021-Dec-18 00:00,240.86912,-20.72142,2.41124011,-8.2388504
 2021-Dec-19 00:00,241.60381,-20.86596,2.406463455,-8.3023855
 2021-Dec-20 00:00,242.34058,-21.00753,2.401650307,-8.3652374
 2021-Dec-21 00:00,243.07943,-21.14608,2.396801042,-8.4274726
 2021-Dec-22 00:00,243.82034,-21.28158,2.391915998,-8.4891537
 2021-Dec-23 00:00,244.56331,-21.41399,2.386995478,-8.5503386
 2021-Dec-24 00:00,245.30831,-21.54329,2.382039753,-8.6110793
 2021-Dec-25 00:00,246.05533,-21.66943,2.377049067,-8.671421
 2021-Dec-26 00:00,246.80436,-21.79239,2.372023638,-8.7314004
 2021-Dec-27 00:00,247.55537,-21.91212,2.366963669,-8.7910416
 2021-Dec-28 00:00,248.30834,-22.02859,2.361869351,-8.8503505
