Date__(UT)__HR:MN, , ,R.A._(ICRF),DEC_(ICRF),delta,deldot,
 2021-Nov-16 00:00, , ,   210.88919,  -11.98713,  1.59199881993761, -1.8912530,
 2021-Nov-17 00:00, , ,   211.34366,  -12.16384,  1.59090354076473, -1.9015608,
 2021-Nov-18 00:00, , ,   211.79936,  -12.34005,  1.58980234239790, -1.9117502,
 2021-Nov-19 00:00, , ,   212.25630,  -12.51574,  1.58869529351040, -1.9218202,
 2021-Nov-20 00:00, , ,   212.71450,  -12.69091,  1.58758246344704, -1.9317695,
 2021-Nov-21 00:00, , ,   213.17399,  -12.86553,  1.58646392222489, -1.9415969,
 2021-Nov-22 00:00, , ,   213.63476,  -13.03960,  1.58533974053463, -1.9513015,
 2021-Nov-23 00:00, , ,   214.09683,  -13.21310,  1.58420998974311, -1.9608818,
 2021-Nov-24 00:00, , ,   214.56022,  -13.38601,  1.58307474189625, -1.9703369,
 2021-Nov-25 00:00, , ,   215.02495,  -13.55833,  1.58193406972050, -1.9796654,
 2021-Nov-26 00:00, , ,   215.49102,  -13.73003,  1.58078804662328, -1.9888662,
 2021-Nov-27 00:00, , ,   215.95845,  -13.90111,  1.57963674669374, -1.9979381,
 2021-Nov-28 00:00, , ,   216.42726,  -14.07154,  1.57848024470472, -2.0068800,
 2021-Nov-29 00:00, , ,   216.89746,  -14.24132,  1.57731861611484, -2.0156907,
 2021-Nov-30 00:00, , ,   217.36905,  -14.41042,  1.57615193706973, -2.0243689,
 2021-Dec-01 00:00, , ,   217.84207,  -14.57883,  1.57498028440281, -2.0329135,
 2021-Dec-02 00:00, , ,   218.31651,  -14.74654,  1.57380373563653, -2.0413233,
 2021-Dec-03 00:00, , ,   218.79239,  -14.91354,  1.57262236898413, -2.0495970,
 2021-Dec-04 00:00, , ,   219.26973,  -15.07979,  1.57143626335102, -2.0577335,
 2021-Dec-05 00:00, , ,   219.74854,  -15.24530,  1.57024549833478, -2.0657316,
 2021-Dec-06 00:00, , ,   220.22883,  -15.41004,  1.56905015422512, -2.0735901,
 2021-Dec-07 00:00, , ,   220.71061,  -15.57399,  1.56785031200503, -2.0813078,
 2021-Dec-08 00:00, , ,   221.19391,  -15.73714,  1.56664605335280, -2.0888834,
 2021-Dec-09 00:00, , ,   221.67872,  -15.89948,  1.56543746064336, -2.0963159,
 2021-Dec-10 00:00, , ,   222.16507,  -16.06098,  1.56422461694798, -2.1036038,
 2021-Dec-11 00:00, , ,   222.65296,  -16.22164,  1.56300760603385, -2.1107462,
 2021-Dec-12 00:00, , ,   223.14240,  -16.38142,  1.56178651236449, -2.1177416,
 2021-Dec-13 00:00, , ,   223.63342,  -16.54032,  1.56056142110081, -2.1245890,
 2021-Dec-14 00:00, , ,   224.12602,  -16.69832,  1.55933241810131, -2.1312872,
 2021-Dec-15 00:00, , ,   224.62021,  -16.85539,  1.55809958992165, -2.1378350,
 2021-Dec-16 00:00, , ,   225.11601,  -17.01153,  1.55686302381460, -2.1442310,
 2021-Dec-17 00:00, , ,   225.61342,  -17.16671,  1.55562280773064, -2.1504742,
 2021-Dec-18 00:00, , ,   226.11246,  -17.32091,  1.55437903031841, -2.1565632,
 2021-Dec-19 00:00, , ,   226.61313,  -17.47413,  1.55313178092388, -2.1624969,
 2021-Dec-20 00:00, , ,   227.11546,  -17.62633,  1.55188114958870, -2.1682741,
 2021-Dec-21 00:00, , ,   227.61944,  -17.77750,  1.55062722704927, -2.1738937,
 2021-Dec-22 00:00, , ,   228.12509,  -17.92762,  1.54937010473710, -2.1793543,
 2021-Dec-23 00:00, , ,   228.63242,  -18.07667,  1.54810987477921, -2.1846549,
 2021-Dec-24 00:00, , ,   229.14143,  -18.22464,  1.54684662999691, -2.1897941,
 2021-Dec-25 00:00, , ,   229.65215,  -18.37149,  1.54558046390394, -2.1947708,
 2021-Dec-26 00:00, , ,   230.16457,  -18.51723,  1.54431147070494, -2.1995838,
 2021-Dec-27 00:00, , ,   230.67870,  -18.66181,  1.54303974529481, -2.2042318,
 2021-Dec-28 00:00, , ,   231.19456,  -18.80523,  1.54176538325754, -2.2087138,
 2021-Dec-29 00:00, , ,   231.71216,  -18.94747,  1.54048848086394, -2.2130285,
 2021-Dec-30 00:00, , ,   232.23149,  -19.08850,  1.53920913506954, -2.2171748,
 2021-Dec-31 00:00, , ,   232.75257,  -19.22830,  1.53792744351329, -2.2211514,
 2022-Jan-01 00:00, , ,   233.27541,  -19.36686,  1.53664350451656, -2.2249572,
 2022-Jan-02 00:00, , ,   233.80000,  -19.50415,  1.53535741708078, -2.2285910,
 2022-Jan-03 00:00, , ,   234.32637,  -19.64015,  1.53406928088380, -2.2320516,
 2022-Jan-04 00:00, , ,   234.85451,  -19.77484,  1.53277919627624, -2.2353378,
 2022-Jan-05 00:00, , ,   235.38443,  -19.90821,  1.53148726427893, -2.2384486,
 2022-Jan-06 00:00, , ,   235.91614,  -20.04022,  1.53019358658081, -2.2413828,
 2022-Jan-07 00:00, , ,   236.44964,  -20.17086,  1.52889826553568, -2.2441391,
 2022-Jan-08 00:00, , ,   236.98494,  -20.30011,  1.52760140415767, -2.2467166,
 2022-Jan-09 00:00, , ,   237.52204,  -20.42795,  1.52630310611647, -2.2491139,
 2022-Jan-10 00:00, , ,   238.06094,  -20.55435,  1.52500347573335, -2.2513301,
 2022-Jan-11 00:00, , ,   238.60165,  -20.67929,  1.52370261797678, -2.2533639,
 2022-Jan-12 00:00, , ,   239.14418,  -20.80275,  1.52240063845689, -2.2552144,
 2022-Jan-13 00:00, , ,   239.68851,  -20.92471,  1.52109764341934, -2.2568803,
 2022-Jan-14 00:00, , ,   240.23467,  -21.04515,  1.51979373974039, -2.2583607,
 2022-Jan-15 00:00, , ,   240.78264,  -21.16404,  1.51848903492266, -2.2596544,
 2022-Jan-16 00:00, , ,   241.33243,  -21.28136,  1.51718363709051, -2.2607604,
 2022-Jan-17 00:00, , ,   241.88404,  -21.39710,  1.51587765498399, -2.2616775,
 2022-Jan-18 00:00, , ,   242.43747,  -21.51122,  1.51457119795248, -2.2624048,
 2022-Jan-19 00:00, , ,   242.99273,  -21.62371,  1.51326437594960, -2.2629411,
 2022-Jan-20 00:00, , ,   243.54980,  -21.73454,  1.51195729952913, -2.2632856,
 2022-Jan-21 00:00, , ,   244.10869,  -21.84370,  1.51065007984069, -2.2634371,
 2022-Jan-22 00:00, , ,   244.66940,  -21.95115,  1.50934282862431, -2.2633947,
 2022-Jan-23 00:00, , ,   245.23193,  -22.05688,  1.50803565820462, -2.2631572,
 2022-Jan-24 00:00, , ,   245.79626,  -22.16086,  1.50672868148558, -2.2627237,
 2022-Jan-25 00:00, , ,   246.36241,  -22.26307,  1.50542201194515, -2.2620933,
 2022-Jan-26 00:00, , ,   246.93036,  -22.36349,  1.50411576362886, -2.2612649,
 2022-Jan-27 00:00, , ,   247.50011,  -22.46210,  1.50281005114190, -2.2602376,
 2022-Jan-28 00:00, , ,   248.07166,  -22.55887,  1.50150498964170, -2.2590105,
 2022-Jan-29 00:00, , ,   248.64499,  -22.65378,  1.50020069483144, -2.2575825,
 2022-Jan-30 00:00, , ,   249.22012,  -22.74680,  1.49889728295329, -2.2559529,
 2022-Jan-31 00:00, , ,   249.79702,  -22.83792,  1.49759487077996, -2.2541206,
 2022-Feb-01 00:00, , ,   250.37569,  -22.92712,  1.49629357560479, -2.2520847,
 2022-Feb-02 00:00, , ,   250.95612,  -23.01436,  1.49499351523228, -2.2498444,
 2022-Feb-03 00:00, , ,   251.53831,  -23.09964,  1.49369480796932, -2.2473989,
 2022-Feb-04 00:00, , ,   252.12224,  -23.18292,  1.49239757261635, -2.2447472,
 2022-Feb-05 00:00, , ,   252.70790,  -23.26418,  1.49110192845735, -2.2418887,
 2022-Feb-06 00:00, , ,   253.29530,  -23.34340,  1.48980799524929, -2.2388224,
 2022-Feb-07 00:00, , ,   253.88440,  -23.42056,  1.48851589321185, -2.2355475,
 2022-Feb-08 00:00, , ,   254.47521,  -23.49563,  1.48722574301755, -2.2320633,
 2022-Feb-09 00:00, , ,   255.06771,  -23.56861,  1.48593766578101, -2.2283690,
 2022-Feb-10 00:00, , ,   255.66188,  -23.63945,  1.48465178304675, -2.2244639,
 2022-Feb-11 00:00, , ,   256.25772,  -23.70814,  1.48336821677683, -2.2203472,
 2022-Feb-12 00:00, , ,   256.85521,  -23.77467,  1.48208708933950, -2.2160184,
 2022-Feb-13 00:00, , ,   257.45434,  -23.83900,  1.48080852349870, -2.2114767,
 2022-Feb-14 00:00, , ,   258.05509,  -23.90112,  1.47953264240224, -2.2067215,
 2022-Feb-15 00:00, , ,   258.65744,  -23.96100,  1.47825956956842, -2.2017520,
 2022-Feb-16 00:00, , ,   259.26137,  -24.01863,  1.47698942887222, -2.1965677,
 2022-Feb-17 00:00, , ,   259.86688,  -24.07399,  1.47572234453248, -2.1911681,
 2022-Feb-18 00:00, , ,   260.47394,  -24.12704,  1.47445844109912, -2.1855526,
 2022-Feb-19 00:00, , ,   261.08253,  -24.17778,  1.47319784343943, -2.1797206,
 2022-Feb-20 00:00, , ,   261.69264,  -24.22619,  1.47194067672352, -2.1736716,
 2022-Feb-21 00:00, , ,   262.30425,  -24.27224,  1.47068706641005, -2.1674052,
 2022-Feb-22 00:00, , ,   262.91733,  -24.31591,  1.46943713823254, -2.1609208,
 2022-Feb-23 00:00, , ,   263.53186,  -24.35718,  1.46819101818513, -2.1542181,
 2022-Feb-24 00:00, , ,   264.14782,  -24.39605,  1.46694883250673, -2.1472966,
 2022-Feb-25 00:00, , ,   264.76520,  -24.43247,  1.46571070766438, -2.1401559,
 2022-Feb-26 00:00, , ,   265.38396,  -24.46645,  1.46447677033721, -2.1327957,
 2022-Feb-27 00:00, , ,   266.00409,  -24.49796,  1.46324714740152, -2.1252157,
 2022-Feb-28 00:00, , ,   266.62556,  -24.52698,  1.46202196591553, -2.1174155,
 2022-Mar-01 00:00, , ,   267.24834,  -24.55350,  1.46080135310235, -2.1093950,
 2022-Mar-02 00:00, , ,   267.87242,  -24.57749,  1.45958543633213, -2.1011537,
 2022-Mar-03 00:00, , ,   268.49776,  -24.59895,  1.45837434310469, -2.0926916,
 2022-Mar-04 00:00, , ,   269.12434,  -24.61785,  1.45716820103260, -2.0840085,
 2022-Mar-05 00:00, , ,   269.75213,  -24.63418,  1.45596713782352, -2.0751042,
 2022-Mar-06 00:00, , ,   270.38111,  -24.64792,  1.45477128126128, -2.0659785,
 2022-Mar-07 00:00, , ,   271.01125,  -24.65906,  1.45358075918715, -2.0566316,
 2022-Mar-08 00:00, , ,   271.64252,  -24.66759,  1.45239569948194, -2.0470631,
 2022-Mar-09 00:00, , ,   272.27488,  -24.67348,  1.45121623004796, -2.0372732,
 2022-Mar-10 00:00, , ,   272.90833,  -24.67673,  1.45004247878960, -2.0272618,
 2022-Mar-11 00:00, , ,   273.54281,  -24.67732,  1.44887457359254, -2.0170291,
 2022-Mar-12 00:00, , ,   274.17831,  -24.67524,  1.44771264230301, -2.0065750,
 2022-Mar-13 00:00, , ,   274.81479,  -24.67048,  1.44655681270823, -1.9958997,
 2022-Mar-14 00:00, , ,   275.45223,  -24.66302,  1.44540721251706, -1.9850034,
 2022-Mar-15 00:00, , ,   276.09059,  -24.65286,  1.44426396933955, -1.9738863,
 2022-Mar-16 00:00, , ,   276.72984,  -24.63998,  1.44312721066526, -1.9625485,
 2022-Mar-17 00:00, , ,   277.36994,  -24.62436,  1.44199706384158, -1.9509904,
 2022-Mar-18 00:00, , ,   278.01088,  -24.60601,  1.44087365605284, -1.9392121,
 2022-Mar-19 00:00, , ,   278.65261,  -24.58491,  1.43975711429890, -1.9272142,
 2022-Mar-20 00:00, , ,   279.29510,  -24.56106,  1.43864756537248, -1.9149969,
 2022-Mar-21 00:00, , ,   279.93832,  -24.53443,  1.43754513583612, -1.9025608,
 2022-Mar-22 00:00, , ,   280.58224,  -24.50504,  1.43644995200010, -1.8899061,
 2022-Mar-23 00:00, , ,   281.22682,  -24.47286,  1.43536213990109, -1.8770335,
 2022-Mar-24 00:00, , ,   281.87203,  -24.43790,  1.43428182527966, -1.8639435,
 2022-Mar-25 00:00, , ,   282.51784,  -24.40014,  1.43320913355633, -1.8506365,
 2022-Mar-26 00:00, , ,   283.16422,  -24.35958,  1.43214418980704, -1.8371133,
 2022-Mar-27 00:00, , ,   283.81112,  -24.31622,  1.43108711873965, -1.8233745,
 2022-Mar-28 00:00, , ,   284.45852,  -24.27005,  1.43003804467113, -1.8094208,
 2022-Mar-29 00:00, , ,   285.10638,  -24.22107,  1.42899709150415, -1.7952530,
 2022-Mar-30 00:00, , ,   285.75466,  -24.16927,  1.42796438270250, -1.7808718,
 2022-Mar-31 00:00, , ,   286.40334,  -24.11465,  1.42694004126644, -1.7662780,
 2022-Apr-01 00:00, , ,   287.05239,  -24.05722,  1.42592418970864, -1.7514726,
 2022-Apr-02 00:00, , ,   287.70175,  -23.99696,  1.42491695003005, -1.7364563,
 2022-Apr-03 00:00, , ,   288.35141,  -23.93388,  1.42391844369473, -1.7212302,
 2022-Apr-04 00:00, , ,   289.00133,  -23.86797,  1.42292879160354, -1.7057953,
 2022-Apr-05 00:00, , ,   289.65147,  -23.79925,  1.42194811406863, -1.6901526,
 2022-Apr-06 00:00, , ,   290.30180,  -23.72770,  1.42097653078894, -1.6743033,
 2022-Apr-07 00:00, , ,   290.95229,  -23.65333,  1.42001416082548, -1.6582483,
 2022-Apr-08 00:00, , ,   291.60291,  -23.57615,  1.41906112257475, -1.6419889,
 2022-Apr-09 00:00, , ,   292.25361,  -23.49615,  1.41811753374111, -1.6255264,
 2022-Apr-10 00:00, , ,   292.90438,  -23.41335,  1.41718351130953, -1.6088618,
 2022-Apr-11 00:00, , ,   293.55517,  -23.32774,  1.41625917151921, -1.5919967,
 2022-Apr-12 00:00, , ,   294.20595,  -23.23932,  1.41534462983676, -1.5749324,
 2022-Apr-13 00:00, , ,   294.85669,  -23.14811,  1.41444000092861, -1.5576703,
 2022-Apr-14 00:00, , ,   295.50736,  -23.05412,  1.41354539863303, -1.5402118,
 2022-Apr-15 00:00, , ,   296.15793,  -22.95734,  1.41266093593312, -1.5225584,
 2022-Apr-16 00:00, , ,   296.80836,  -22.85778,  1.41178672493035, -1.5047117,
 2022-Apr-17 00:00, , ,   297.45863,  -22.75546,  1.41092287681755, -1.4866732,
 2022-Apr-18 00:00, , ,   298.10870,  -22.65038,  1.41006950185109, -1.4684446,
 2022-Apr-19 00:00, , ,   298.75855,  -22.54256,  1.40922670932364, -1.4500277,
